"activity","subjectid","avgmean","avgstdeviation"
"LAYING",1,-0.287128222590253,-0.896699261804485
"LAYING",2,-0.282254316938563,-0.980492348554293
"LAYING",3,-0.294137376413721,-0.973555798352884
"LAYING",4,-0.304294812167448,-0.960841350255892
"LAYING",5,-0.289490298570577,-0.97277492210373
"LAYING",6,-0.289304410637627,-0.938894773891707
"LAYING",7,-0.332489862160372,-0.951894384892075
"LAYING",8,-0.302950148274794,-0.953251137141975
"LAYING",9,-0.346945267721078,-0.944242142015576
"LAYING",10,-0.285552962453091,-0.961084978136364
"LAYING",11,-0.28796077073335,-0.977547759728868
"LAYING",12,-0.305549190596089,-0.957088102540404
"LAYING",13,-0.305846228040788,-0.967352157609971
"LAYING",14,-0.337218894717299,-0.934842463238265
"LAYING",15,-0.314495357131774,-0.962181718324916
"LAYING",16,-0.327405718173379,-0.974313487683983
"LAYING",17,-0.300568591063116,-0.969502280717029
"LAYING",18,-0.280408749544581,-0.987915725314685
"LAYING",19,-0.296835040003293,-0.975283077013509
"LAYING",20,-0.301082021782402,-0.971673243807487
"LAYING",21,-0.323245765196873,-0.966463192717172
"LAYING",22,-0.305893248038878,-0.949517000464268
"LAYING",23,-0.292127106710452,-0.974838249659091
"LAYING",24,-0.290980930198354,-0.977079799002525
"LAYING",25,-0.316437719690155,-0.859226441427107
"LAYING",26,-0.282037482775738,-0.980657343927432
"LAYING",27,-0.279938500544286,-0.985017043521703
"LAYING",28,-0.327137460508292,-0.964252162746212
"LAYING",29,-0.266556982654867,-0.988594156319719
"LAYING",30,-0.313438912868491,-0.97131121374026
"SITTING",1,-0.287539021467816,-0.962531684925854
"SITTING",2,-0.302664075450149,-0.974113940790514
"SITTING",3,-0.30738160861938,-0.936746787346154
"SITTING",4,-0.319602353308119,-0.951483705307273
"SITTING",5,-0.311985685581997,-0.952403047947934
"SITTING",6,-0.304905455445057,-0.949510577900826
"SITTING",7,-0.328113931936301,-0.939410998802399
"SITTING",8,-0.31127107889714,-0.965444231379447
"SITTING",9,-0.34673174503357,-0.928220936999515
"SITTING",10,-0.294187245768303,-0.971721957250842
"SITTING",11,-0.305041999500217,-0.969903732115495
"SITTING",12,-0.322287712507181,-0.963695997290553
"SITTING",13,-0.30243129475152,-0.971614675209029
"SITTING",14,-0.343404861607435,-0.960128611305275
"SITTING",15,-0.304518162618123,-0.97025459222907
"SITTING",16,-0.297977954527728,-0.968810838932806
"SITTING",17,-0.297753102833367,-0.982201351581439
"SITTING",18,-0.293307714779857,-0.98682249891547
"SITTING",19,-0.330971448456987,-0.9708062616978
"SITTING",20,-0.327693860296418,-0.962054556825528
"SITTING",21,-0.298322678776433,-0.980383901240642
"SITTING",22,-0.326362703814455,-0.957196402985694
"SITTING",23,-0.299164699239621,-0.960073119210339
"SITTING",24,-0.317392229180781,-0.977869422566845
"SITTING",25,-0.308060722954372,-0.978816477948252
"SITTING",26,-0.311522995860041,-0.971816617586636
"SITTING",27,-0.304642719284453,-0.981737422142857
"SITTING",28,-0.329037165045608,-0.964937670239899
"SITTING",29,-0.299171426487223,-0.982026481712121
"SITTING",30,-0.321242910683128,-0.971669425166178
"STANDING",1,-0.295699915757656,-0.986798479817038
"STANDING",2,-0.305931529269707,-0.970481596212121
"STANDING",3,-0.342032250160264,-0.934573756328862
"STANDING",4,-0.325567141250917,-0.931971966691558
"STANDING",5,-0.32170229627683,-0.923529957596862
"STANDING",6,-0.322001690978378,-0.950810498112706
"STANDING",7,-0.340659801090804,-0.954527409782733
"STANDING",8,-0.312779070083798,-0.966665007124242
"STANDING",9,-0.335581890034973,-0.950814844363636
"STANDING",10,-0.318330528602684,-0.953572276081267
"STANDING",11,-0.300216402457555,-0.985657370773694
"STANDING",12,-0.323703078090659,-0.944561812874814
"STANDING",13,-0.319936812603356,-0.973488324742158
"STANDING",14,-0.349092252744824,-0.955643634646465
"STANDING",15,-0.319142254145409,-0.966132857181246
"STANDING",16,-0.315326661120857,-0.977221575462315
"STANDING",17,-0.308331456896178,-0.98342571462704
"STANDING",18,-0.334513978919391,-0.977252557799917
"STANDING",19,-0.330852845573908,-0.968736065118306
"STANDING",20,-0.346572615046957,-0.924119798111249
"STANDING",21,-0.326380030931793,-0.965203536826694
"STANDING",22,-0.352121156071411,-0.955314916002886
"STANDING",23,-0.330104984324521,-0.962661937054367
"STANDING",24,-0.327753964161722,-0.965586593825209
"STANDING",25,-0.31939918110163,-0.97601896464783
"STANDING",26,-0.31875537880666,-0.975943695888616
"STANDING",27,-0.312499550682476,-0.977877930784091
"STANDING",28,-0.348169870986449,-0.935392243072497
"STANDING",29,-0.308961911716177,-0.985727862638695
"STANDING",30,-0.353447510379353,-0.941460565007704
"WALKING",1,-0.0610545037484828,-0.302551798992919
"WALKING",2,-0.106991963305456,-0.471518668508629
"WALKING",3,-0.133124635168182,-0.450988754712889
"WALKING",4,-0.164321022531525,-0.556813870101975
"WALKING",5,-0.130303562149479,-0.426550893998593
"WALKING",6,-0.0733498895257342,-0.359321371006842
"WALKING",7,-0.0598637512439705,-0.286082417455657
"WALKING",8,-0.0657562106599399,-0.258282654667929
"WALKING",9,-0.124762728352779,-0.420159775816509
"WALKING",10,-0.0721182787921082,-0.330444040259886
"WALKING",11,-0.180365721048437,-0.535503995110734
"WALKING",12,-0.0887229016619283,-0.389277124734909
"WALKING",13,-0.0624214660884836,-0.322358364868426
"WALKING",14,-0.150428172513315,-0.39895837100264
"WALKING",15,-0.148241407683587,-0.446391143626077
"WALKING",16,-0.177969250211424,-0.539749355518122
"WALKING",17,-0.143698874135821,-0.437683311620571
"WALKING",18,-0.173110875517139,-0.553086396517316
"WALKING",19,0.00759653509349838,-0.166549887439714
